No.,Question,Image,Image_1,Options,Answer,Topic,Level,Paper,Difficulty,Objective,Unique identifier
1,A good is most suitable to be provided by the market if it is,,,"A excludable and non-rival.
B excludable and rival.
C non-excludable and non-rival.
D non-excludable and rival.",B,Topic 1: Basic economic ideas and resource allocation,AS,9708_m23_qp_12,Easy,Understanding,9708_m23_qp_12_1
2,What is the definition of long run?,,,"A the time period when all factors of production are specialised
B the time period when all factors of production are variable
C the time period when all key inputs into production are variable
D the time period when at least one factor of production is fixed",B,Topic 2: The price system and the microeconomy,AS,9708_m23_qp_12,Easy,Recall,9708_m23_qp_12_2
3,The table states the consequences of two macroeconomic policies. What correctly identifies whether the statements are normative or positive?,9708_m23_qp_12_3.png,,"A normative, normative
B normative, positive
C positive, normative
D positive, positive",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_m23_qp_12,Easy,Understanding,9708_m23_qp_12_3
4,The diagram shows the production possibility curve for wheat and corn. What can be deduced from the diagram?,9708_m23_qp_12_4.png,,"A As the price of corn falls, more of it is demanded.
B Resources used in producing corn are more efficient than in producing wheat.
C The opportunity cost of producing corn falls when moving from M to N.
D The opportunity cost of producing corn is constant when moving from M to N.",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_m23_qp_12,Medium,Analysis,9708_m23_qp_12_4
5,"A supply curve is represented by the equation 
quantity supplied =10+5P 
where P= the price of the product. 
Which price rise would cause the quantity supplied to double?",,,"A $1 to $2
B $1 to $3
C $1 to $4
D $1 to $5",C,Topic 2: The price system and the microeconomy,AS,9708_m23_qp_12,Difficult,Application,9708_m23_qp_12_5
6,Which diagram illustrates unitary elasticity of supply?,9708_m23_qp_12_6.png,,"A
B
C
D",C,Topic 2: The price system and the microeconomy,AS,9708_m23_qp_12,Medium,Understanding,9708_m23_qp_12_6
7,In which case is the price system not a possible method of allocating resources?,,,"A in the distribution of foodstuff among the population
B in the hiring of workers by employers
C in the ownership of land for agricultural use
D in the provision of public goods by the government",D,Topic 3: Government microeconomic intervention,AS,9708_m23_qp_12,Easy,Understanding,9708_m23_qp_12_7
8,"A sports stadium has two prices of seats. The cheaper seats are $10 and the more expensive seats are $20. When the prices of all seats are increased by 10%, the effects on demand are a fall of 5% for the cheaper seats and a fall of 12% for the more expensive seats. What describes the responsiveness of demand to the change in price?",9708_m23_qp_12_8.png,,"A elastic, elastic
B elastic, inelastic
C inelastic, elastic
D inelastic, unitary elasticity",C,Topic 2: The price system and the microeconomy,AS,9708_m23_qp_12,Difficult,Evaluation,9708_m23_qp_12_8
9,Which statement correctly describes the shape of the demand curve for a normal good?,,,"A It shows an inverse relationship between income and quantity demanded.
B It shows an inverse relationship between the price of the good and quantity demanded.
C It shows a positive relationship between the price of the good and quantity demanded.
D It shows a positive relationship between income and quantity demanded.",B,Topic 2: The price system and the microeconomy,AS,9708_m23_qp_12,Easy,Recall,9708_m23_qp_12_9
10,Why does the basic economic problem of scarcity apply to both the rich and the poor?,,,"A The choices people make are not dependent on income inequalities.
B Consumers pay the same prices for goods and services to satisfy their wants.
C Human wants exceed what can be produced from available resources.
D Natural resources are unevenly distributed amongst nations.",C,Topic 1: Basic economic ideas and resource allocation,AS,9708_m23_qp_12,Easy,Understanding,9708_m23_qp_12_10
